Title,Keywords,Topics,High-Level Keyword(s),Abstract
Multi-Cycle Query Caching in Agent Programming,"Agent programming languages
BDI agents
Query caching","Agent/AI Theories and Architectures
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"In many logic-based BDI agent programming languages, plan selection involves inferencing over some underlying knowledge representation. While context-sensitive plan selection facilitates the development of flexible, declarative programs, the overhead of evaluating repeated queries to the agent's beliefs and goals can result in poor run time performance. In this paper we present an approach to multi-cycle query caching for logic-based BDI agent programming languages. We extend the abstract performance model presented in (Alechina et al 2012) to quantify the costs and benefits of caching query results over multiple deliberation cycles. We also present results of experiments with prototype implementations of both single- and multi-cycle caching in three logic-based BDI agent platforms, which demonstrate that significant performance improvements are achievable in practice."
Pruning for Monte Carlo Distributed Reinforcement Learning in Decentralized POMDPs,"Reinforcement learning
Decentralized planning
Multi-agent learning","Reinforcement Learning
Multiagent Learning
Multiagent Planning","Machine Learning
Multiagent Systems","Decentralized partially observable Markov decision
processes (Dec-POMDPs) offer a powerful modeling
technique for realistic multi-agent coordination problems
under uncertainty. Prevalent solution techniques
are centralized and assume prior knowledge of the
model. Recently a Monte Carlo based distributed reinforcement
learning approach was proposed, where
agents take turns to learn best responses to each other’s
policies. This promotes decentralization of the policy
computation problem, and relaxes reliance on the
full knowledge of the problem parameters. However,
this Monte Carlo approach has a large sample complexity,
which we address in this paper. In particular,
we propose and analyze a modified version of the previous
algorithm that adaptively eliminates parts of the
experience tree from further exploration, thus requiring
fewer samples while ensuring unchanged confidence in
the learned value function. Experiments demonstrate
significant reduction in sample complexity – the maximum
reductions ranging from 61% to 93% over different
benchmark Dec-POMDP problems – with the final
policies being often better due to more focused exploration."
Complexity of Inferences in Polytree-shaped Semi-Qualitative Probabilistic Networks,"Semi-qualitative probabilistic networks
Hardness of inference in polytrees
Polynomial-time algorithm","Computational Complexity of Reasoning
Bayesian Networks
Graphical Models (Other)","Knowledge Representation and Reasoning
Reasoning under Uncertainty","Semi-qualitative probabilistic networks (SQPNs) merge two important graphical model
  formalisms: Bayesian networks and qualitative probabilistic networks. They
  provide a very general modeling framework by allowing the combination of
  numeric and qualitative assessments over a discrete domain, and can be
  compactly encoded by exploiting the same factorization of joint probability
  distributions that are behind the Bayesian networks.  This paper explores the
  computational complexity of semi-qualitative probabilistic networks, and takes
  the polytree-shaped networks as its main target. We show that the inference
  problem is coNP-Complete for binary polytrees with multiple observed nodes. We
  also show that inferences can be performed in linear time if there is a
  single observed node, which is a relevant practical case. Because our proof is
  constructive, we obtain an efficient linear time algorithm for SQPNs under
  such assumptions. To the best of our knowledge, this is the first exact
  polynomial-time algorithm for SQPNs. Together these results provide
  a clear picture of the inferential complexity in polytree-shaped SQPNs."
Generating Natural-Language Video Descriptions Using Text-Mined Knowledge,"videos
natural language descriptions
text mining
grounding
computer vision","Machine Learning (General/other)
Natural Language Processing (General/Other)
Vision, Object Recognition, and Perception","Machine Learning
Natural Language Processing
Robotics","We present a holistic data-driven technique that generates natural-language descriptions for videos. We combine the output of state-of-the-art object and activity detectors with “real-world” knowledge to select the most probable subject-verb-object triplet for describing a video. We show that this knowledge, automatically mined from web-scale text corpora, enhances the triplet selection algorithm by providing it contextual information and leads to a four-fold increase in activity identification. Unlike previous methods, our approach can annotate arbitrary videos without requiring the expensive collection and annotation of a similar training video corpus. We evaluate our technique against a baseline that does not use text-mined knowledge and show that humans prefer our descriptions to those generated using purely visual detections."
Assumption-Based Planning: Generating plans and explanations under incomplete knowledge,"Planning under incomplete knowledge
Explanations
Diagnosis
Conformant Planning
Contingent Planning","Common-Sense Reasoning
Diagnosis and Abductive Reasoning
Planning (General/Other)","Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","Many practical planning problems necessitate the generation of a plan under incomplete information about the state of the world. In this paper we propose the notion of Assumption-Based Planning.  Unlike conformant planning, which attempts to find a plan under all possible completions of the initial state, an assumption-based plan supports the assertion of additional assumptions about the state of the world, simplifying the planning problem, and often resulting in high quality plans where no conformant plan exists. We are interested in this paradigm of planning for two reasons: 1) it captures a compelling form of commonsense planning, and 2) it is of great utility in the generation of explanations, diagnoses, and counter-examples -- tasks which share a computational core with
planning. We formalize the notion of assumption-based planning, establishing a relationship between assumption-based and conformant planning, and prove properties of such plans.  We further provide for the scenario where some assumptions are more preferred than others. Exploiting the correspondence with conformant planning, we propose a means of computing assumption-based plans via a translation to classical planning.  Our translation is an extension of the popular approach proposed by Palacios and Geffner and realized in their T0 planner. We have implemented our planner, A0, as a variant of T0 and tested it on a number of expository domains drawn from the International Planning Competition. Our results illustrate the utility of this new planning paradigm."
Analyzing the effectiveness of adversary modeling in security games,"Game Theory
Human Behavior
Quantal Response
Bounded Rationality
Subjective Utility
Human Experiment","Evaluation and Analysis (Multiagent Systems)
Human-Computer Interaction
Security and Privacy","Multiagent Systems
Multidisciplinary Topics","Recent deployments of Stackelberg security games (SSG) have led to two competing approaches to handle boundedly rational human adversaries: (1) integrating models of human (adversary) decision-making into the game-theoretic algorithms, and (2) applying robust optimization techniques that avoid adversary modeling. A recent algorithm (MATCH) based on the second approach was shown to outperform the leading modeling-based algorithm even in the presence of significant amount of data. Is there then any value in using human behavior models in solving SSGs? Through extensive experiments with 547 human subjects playing 11102 games in total, we emphatically answer the question in the affirmative, while providing the following key contributions: (i) we show that our algorithm, SU-BRQR, based on a novel integration of human behavior model with the subjective utility function, significantly outperforms both MATCH and its improvements; (ii) we are the first to present experimental results with security intelligence experts, and find that even though the experts are more rational than the Amazon Turk workers, SU-BRQR still outperforms an approach assuming perfect rationality (and to a more limited extent MATCH); (iii) we show the advantage of SU-BRQR in a new, large game setting and demonstrate that sufficient data enables it to improve its performance over MATCH."
Hypothesis Exploration for Malware Detection using Planning,"Planning
Application
Reasoning about actions","Action, Change, and Causality
Diagnosis and Abductive Reasoning
Other Applications
Model-Based Reasoning
Planning (General/Other)","Knowledge Representation and Reasoning
Applications
Reasoning about Plans, Processes, and Actions","In this paper we apply AI planning to address the hypothesis exploration problem and provide assistance to network administrators in detecting malware based on unreliable observations derived from network traffic.Building on the already established characterization and use of AI planning for similar problems, we propose a formulation of the hypothesis generation problem for malware detection as an AI planning problem with temporally extended goals and actions costs. Furthermore, we propose a notion of hypothesis ``plausibility'' under unreliable observations, which we model as plan quality. We then show that in the presence of unreliable observations, simply finding one most ``plausible'' hypothesis, although challenging, is not sufficient for effective malware detection.  To that end, we propose a method for applying a state-of-the-art planner within a principled exploration process, to generate multiple distinct high-quality plans. We experimentally evaluate this approach by generating random problems of varying hardness both with respect to the number of observations, as well as the degree of unreliability. Based on these experiments, we argue that our approach presents a significant improvement over prior work that are focused on finding a single optimal plan, and that the hypothesis exploration application can motivate the development of new planners capable of generating the top high-quality plans."
Algorithms for strong Nash equilibrium with more than two agents,"non-cooperative game theory
Strong Nash equilibrium
equilibrium computation","Game Theory
Multiagent Systems (General/other)",Multiagent Systems,"Strong Nash equilibrium (SNE) is an appealing solution concept when rational agents can form coalitions. A strategy profile is an SNE if no coalition of agents can benefit by deviating. An SNE must simultaneously be a Nash equilibrium (NE) and the optimal solution of multiple non-convex optimization problems. This makes even the derivation of necessary and sufficient equilibrium constraints in a mathematical programming fashion difficult. We show that forcing an SNE to be resilient only to pure strategy deviations by coalitions, unlike for NEs, is only a necessary condition here.  Second, we show that the application of Karush-Kuhn-Tucker conditions leads to another set of necessary conditions that are not sufficient. Third, we show that forcing the Pareto efficiency of an SNE for each coalition with respect to coalition correlated strategies is sufficient but not necessary. We then develop a tree search algorithm for SNE finding. At each node, it calls an oracle to suggest a candidate SNE and then verifies the candidate.  We show that our new necessary conditions can be leveraged to make the oracle more powerful.  Experiments validate the overall approach and show that the new conditions significantly reduce search tree size compared to using NE conditions alone."
Decoupling the Multiagent Disjunctive Temporal Problem,"Temporal Decoupling
Multiagent Scheduling
Disjunctive Temporal Problem
Constraint-based Scheduling","Coordination and Collaboration
Distributed Problem Solving
Scheduling
Temporal Planning","Multiagent Systems
Reasoning about Plans, Processes, and Actions","The Multiagent Disjunctive Temporal Problem (MaDTP) is a general constraint-based formulation for scheduling problems that involve interdependent agents.  Decoupling agents' interdependent scheduling problems, so that each agent can manage its schedule independently, requires agents to adopt more restrictive local constraints that effectively subsume their interdependencies.  In this paper, we present the first algorithms for decoupling MaDTPs.  Our distributed algorithm is provably sound and complete.  Our experiments demonstrate that the relative efficiency of finding a temporal decoupling improves with the interconnectedness between agents' schedules, leading to orders of magnitude speedup over algorithms that find complete solution spaces for MaDTPs.  However, decoupling by its nature restricts agents' local scheduling flexibility; we define novel flexibility metrics for decoupled MaDTPs, and show empirically how the flexibility sacrificed depends on the degree of coupling between agents' schedules."
Online Lazy Updates for Portfolio Selection with Transaction Costs,"Online learning
Portfolio selection
Transaction costs
Convex optimization","Optimization
Online Learning
Time-Series/Data Streams
Machine Learning (General/other)
Other Applications","Heuristic Search and Optimization
Machine Learning
Applications","With the ever increasing amount of data, particularly from search engines and social networks, stochastic optimization algorithms have become desirable for large-scale machine learning tasks because of their empirical efficiency and strong theoretical guarantees. However, a major challenge that is encountered is the cost of updating model parameters especially when the number of such parameters can be in the order of billions. Often times when parameters are updated, their values do not change significantly. As
such, the cost of updating each parameter starts to outweigh the benefit.

In this paper, we introduce an efficient primal-dual based online algorithm that performs lazy updates to the parameter vectors and show that its performance is competitive with reasonable lazy-strategies which have the benefit of hindsight. We demonstrate the effectiveness of our frugal algorithm in the online portfolio selection domain where a trader has to pay proportional transaction costs every time his portfolio is updated. We show that our Online Lazy Updates (OLU) algorithm results in sparse updates of the portfolio vector and is robust to transaction costs with extensive experiments on two real world datasets."
Teamwork with Limited Knowledge of Teammates,"Multiagent Teamwork
Limited Knowledge
Ad Hoc Teamwork
Transfer Learning","Transfer, Adaptation, Multitask Learning
Coordination and Collaboration
Multiagent Learning","Machine Learning
Multiagent Systems","While great strides have been made in multiagent teamwork, existing approaches typically assume extensive information exists about teammates and how to coordinate actions.  This paper addresses how robust teamwork can still be created even if limited or no information exists about a specific group of teammates, as in the ad hoc teamwork scenario.  The main contribution of this paper is the first empirical evaluation of an agent cooperating with teammates not created by the authors, where the agent is not provided expert knowledge of its teammates.  For this purpose, we develop a general-purpose teammate modeling method and test the resulting ad hoc team agent's ability to collaborate with more than 40 unknown teams of agents to accomplish a benchmark task.  These agents were designed by people other than the authors without these designers planning for the ad hoc teamwork setting.  A secondary contribution of the paper is a new transfer learning algorithm, TwoStageTransfer, that can improve results when the ad hoc team agent does have some limited observations of its current teammates."
Greedy or Not?   Local search move selection for MAXSAT,"stochastic local search
SAT
empirical analysis","SAT and CSP: Evaluation and Analysis
SAT and CSP: Solvers and Tools
Evaluation and Analysis (Search and Optimization)","Constraints and Satisfiability
Heuristic Search and Optimization","Stochastic local search (SLS) is the dominant algorithmic paradigm for
incomplete SAT and MAXSAT solvers.  Early studies on small 3SAT
instances found that the use of greedy improving moves did not improve search
compared to using next improving moves (Gent and Walsh 1992, 1993).
Yet several recent algorithms commonly have two modes: a greedy search
followed by diversification (Tompkins, Balint and Hoos 2011).  We
revisit the early results by empirically studying the impact of greediness on
SLS performance on much larger instances, including both random 3SAT and
industrial MAXSAT problems.   Current implementations using greedy moves
tend to be much less efficient than using next improving moves.  We
implement an efficient buffering algorithm that makes greedy
moves just as efficient as next improving moves.   We compare versions
of GSAT and AdaptG2WSAT using next and greedy moves for both finding the
first optima and guiding local search during diversification. We find
that the first local optima found using greedy moves are statistically
significantly better than the first local optima found using next
improving moves.  However, this advantage reverses after subsequent
search; given sufficient search time,  solutions are
significantly better most of the time when using next improving moves.
For larger random as well as industrial MAXSAT problems, current
algorithm design should revisit the use of next improving moves."
Learning Integrated Symbolic and Continuous Action Models for Continuous Domains,"Action Modeling
Combined Symbolic/Continuous Learning
Inductive Logic Programming
Spatial Reasoning","Action, Change, and Causality
Geometric, Spatial, and Temporal Reasoning
Classification
Clustering
Learning Models for Planning and Diagnosis","Knowledge Representation and Reasoning
Machine Learning
Reasoning about Plans, Processes, and Actions","Long-living autonomous agents must be able to learn to perform
competently in novel environments. One important aspect of competence
is the ability to plan, which entails the ability to learn models of
the agent’s own actions and their effects on the environment. In this
paper we describe an approach to learn action models of environments
with continuous-valued spatial states and realistic physics consisting
of multiple interacting rigid objects. In such environments, we
hypothesize that objects exhibit multiple qualitatively distinct
behaviors we call modes, conditioned on their spatial relationships to
each other. We argue that action models that explicitly represent
these modes using a combination of symbolic spatial relationships and
continuous metric information learn faster, generalize better, and
make more accurate predictions than models that use only metric
information. We present a method to learn action models with piecewise
linear modes conditioned on a combination of first-order Horn clauses
composed of symbolic spatial predicates and continuous classifiers. We
empirically demonstrate with lesion studies in a physics simulation
that our method learns more accurate and more general models than a
method that learns a single smooth function (locally weighted
regression) and a method that learns piecewise smooth functions not
conditioned on spatial predicates."
Truncated LPA* : Faster Replanning by Exploiting Suboptimality,"Heuristic Search
Path Planning
Incremental Search","Heuristic Search
Replanning and Plan Repair
Motion and Path Planning","Heuristic Search and Optimization
Reasoning about Plans, Processes, and Actions
Robotics","Incremental heuristic searches try to reuse their previous search efforts whenever these are available. As a result, they can often solve a sequence of similar planning problems much faster than planning from scratch. State-of-the-art incremental heuristic searches such as LPA*, D* and D* Lite all work by propagating cost changes to all the states on the search tree whose g-values (the costs of computed paths from the start) are no longer optimal. While such a complete propagation of cost changes is required to ensure optimality, the propagations can be stopped much earlier if we are looking for solutions within a given suboptimality bound. We develop an algorithm called Truncated LPA* (TLPA*), that builds on this observation, and uses a target suboptimality bound to efficiently restrict the cost propagations. We explain TLPA*, discuss its analytical properties and present experimental results for 2D and 3D (x, y, heading) path planning that show significant improvement in runtime over existing incremental heuristic
searches when searching for close-to-optimal solutions. In addition, unlike typical incremental searches, TLPA* is much less dependent on the proximity of the cost changes to the goal of the search due to the early termination of the cost change propagation."
Effective Bilingual Constraints for Semi-supervised Learning of Named Entity Recognizers,"Gibbs sampling for factored models
bilingual constraints for NER
semi-supervised learning",Information Extraction,Natural Language Processing,"Most semi-supervised methods in Natural Language Processing
capitalize on unannotated resources in a single language;
however, information can be gained from using parallel resources
in more than one language, since translations of the
same utterance in different languages can help to disambiguate
each other. We demonstrate a method that makes
effective use of vast amounts of bilingual text (a.k.a. bitext)
to improve monolingual systems. We propose a factored
probabilistic sequence model that encourages both crosslanguage
and intra-document consistency. A simple Gibbs
sampling algorithm is introduced for performing approximate
inference. Experiments on English-Chinese Named Entity
Recognition (NER) using the OntoNotes dataset demonstrate
that our method is significantly more accurate than state-of-the-art 
monolingual CRF models in a bilingual test setting.
Our model also improves on previous work by Burkett et al. (2010), 
achieving a relative error reduction of 10.8% and 4.5% in Chinese and English, respectively. 
Furthermore, by annotating a moderate amount of unlabeled bi-text with our
bilingual model, and using the tagged data for uptraining, we
achieve a 9.2% error reduction in Chinese over the state-of-the-art Stanford monolingual NER system."
A General Formal Framework for Pathfinding Problems with Multiple Agents using Answer Set Programming,"knowledge representation
answer set programming
pathfinding","Logic Programming
Nonmonotonic Reasoning
Multi-Robot Systems","Knowledge Representation and Reasoning
Robotics","Pathfinding for a single agent is the problem of planning a route
from an initial location to a goal location in an environment, going
around obstacles. Pathfinding for multiple agents also aims to plan
such routes for each agent, subject to different constraints, such
as restrictions on the length of each path or on the total length of
paths, no self-intersecting paths, no intersection of paths/plans,
no crossing/meeting each other, etc. It also has variations for
finding optimal solutions with respect to the maximum path length,
the sum of plan lengths, etc. These problems are important for many
real-life applications, such as motion planning, vehicle routing,
environmental monitoring, patrolling, computer games, etc. Motivated
by such applications, we introduce a formal framework that is
general enough to solve all these problems: we use the expressive
high-level representation formalism and efficient solvers of the
declarative programming paradigm Answer Set Programming. We also
introduce heuristics to improve the computational efficiency and/or
solution quality. We show the applicability and usefulness of our
framework by experiments, with randomly generated problem instances
on a grid, on a real-world road network, and on a real computer game
terrain."
Multiagent Learning with a Noisy Global Reward Signal,"Multiagent Coordination
Reinforcement Learning
Reward Shaping
Congestion Problems
Scaling
Air Traffic Control
Function Approximation
Neural Networks","Reinforcement Learning
Coordination and Collaboration
Multiagent Learning","Machine Learning
Multiagent Systems","Scaling multiagent reinforcement learning to domains with many agents is a complex problem. In particular, multiagent credit assignment becomes a key issue as the system size increases. Some multiagent systems suffer from a global reward signal that is very noisy or difficult to analyze. This makes deriving a learnable local reward signal very difficult. Difference rewards (a particular instance of reward shaping) have been used to alleviate this concern, but they remain difficult to compute in many domains. In this paper we present an approach to modeling the global reward using function approximation that allows the quick computation of local rewards. We demonstrate how this model can result in significant improvements in behavior for three congestion problems: a multiagent ``bar problem'', a complex simulation of the United States airspace, and a generic air traffic domain. We show how the model of the global reward may be either learned on- or off-line using either linear functions or neural networks. For the bar problem, we show an increase in reward of nearly 200% over learning using the global reward directly. For the air traffic problem, we show a decrease in costs of 25% over learning using the global reward directly."
Modelling and Control of Mixed Observability Multiagent Systems,"predictive states
mixed observability
model learning
reinforcement learning","Reinforcement Learning
Multiagent Learning","Machine Learning
Multiagent Systems","Learning accurate models of agent behaviours is crucial for the purpose of controlling multiagent systems where the agent and environment dynamics are unknown. Many multiagent systems exhibit mixed observability, where the multiple interacting agents are heterogenous - observations of some of the agents are essentially perfect and noiseless, while observations of other agents are imperfect, aliased or noisy. Predictive state representations are well-suited to model learning but had hitherto not been adapted to such systems. We present a new model learning framework, the mixed observability predictive state representation (MO-PSR), which exploits structural properties present in mixed observability multiagent systems to learn models that allow more efficient planning and control. We present a learning algorithm that is scalable to large amounts of data and to large mixed observability domains, and show theoretical analysis of the learning consistency and computational complexity. Empirical results demonstrate that our algorithm is capable of learning accurate models, at a larger scale than with the generic predictive state representation, by leveraging the mixed observability properties."
Resolution and Parallelizability: Barriers to the Efficient Parallelization of SAT Solvers,"Resolution
Satisfiability
Parallel
SAT
Clause Learning
Proof Complexity","SAT and CSP: Evaluation and Analysis
SAT and CSP: Solvers and Tools
Satisfiability (General/Other)",Constraints and Satisfiability,"Recent attempts to create versions of Satisfiability (SAT) solvers
that exploit parallel hardware have met with limited success. In fact,
the most successful parallel solvers in recent competitions were based
on portfolio approaches with little to no exchange of information
between processors. This experience contradicts the apparent
parallelizability of exploring a combinatorial search space. We
present evidence that this discrepancy can be explained by studying
SAT solvers as resolution refutation engines. Starting with the
observation that a recently studied measure of resolution proofs,
namely depth, provides a (weak) upper bound to the best possible
speedup achievable by such solvers, we empirically show the existence
of bottlenecks to parallelizability that refutations typically
generated by SAT solvers exhibit. Further, we propose a new measure
that explicitly accounts for a bounded number of parallel processors
and empirically correlates with parallel speedups observed in
practice. Our findings suggest that efficient parallelization of such
solvers is not simply a matter of finding the right clause sharing
heuristics, it is also hindered by the structure of the refutations
these solvers produce."
Ties Matter: Complexity of Manipulation when Tie-breaking with a Random Vote,"Social choice
Voting
Manipulation
Computational complexity",Social Choice / Voting,Multiagent Systems,"We study the impact on strategic voting of tie-breaking by
means of considering the order of tied candidates within a
random vote. We compare this to another non-deterministic
tie-breaking rule where we simply choose between candidates 
uniformly at random. In general, we demonstrate that
there is no connection between the computational complexity 
of computing a manipulating vote with the two different
types of tie-breaking. However, we prove that for some 
scoring rules, the computational complexity of computing a 
manipulation can increase from polynomial to NP-hard. We also
discuss the relationship with the computational complexity of
computing a manipulating vote when we ask for an unique
winner, or when we select from the set of co-winners."
Solving security games on graphs via marginal probabilities,"computational game theory
stackelberg games
security games","Optimization
Game Theory","Heuristic Search and Optimization
Multiagent Systems","Security games involving the allocation of multiple security resources to defend multiple targets generally have an exponential number of pure strategies for the defender. One method that has been successful in addressing this computational issue is to instead directly compute the marginal probabilities with which the individual resources are assigned (first pursued by Kiekintveld et al. (2009)).
However, in sufficiently general settings, there exist games where these marginal solutions are not implementable, that is, they do not correspond to any mixed strategy of the defender. In this paper, we examine security games on graphs and show how the type of graph, the type of schedules, and the type of defender resources affect the applicability of this approach.  In some settings, we show the approach is applicable and give a polynomial-time algorithm for computing an optimal defender strategy; in other settings, we give counterexample games that demonstrate that the approach does not work, and prove NP-hardness results for computing an optimal defender strategy."
Sample Complexity and Performance Bounds for Non-parametric Approximate Linear Programming,"MDP
ALP
Reinforcement Learning",Reinforcement Learning,Machine Learning,"One of the most difficult tasks in value function approximation for Markov Decision Processes is finding an approximation architecture that is expressive enough to capture the important structure in the value function, while at the same time not overfitting the training samples. Recent results in non-parametric approximate linear programming (NP-ALP), have demonstrated that this can be done effectively using nothing more than a smoothness assumption on the value function. In this paper we extend these results to the case where samples come from real world transitions instead of the full Bellman equation, adding robustness to noise. In addition, we provide the first max-norm, finite sample performance guarantees for any form of ALP. NP-ALP is amenable to problems with large (multidimensional) or even infinite (continuous) action spaces, and does not require a model to select actions using the resulting approximate solution."
PAC Optimal Exploration in Continuous Space Markov Decision Processes,"MDPs
PAC-optimal
Exploration
Reinforcement Learning",Reinforcement Learning,Machine Learning,"Current exploration algorithms can be classified in two broad categories: Heuristic, and PAC optimal. While numerous researchers have used heuristic approaches such as $\epsilon$-greedy exploration successfully, such approaches lack formal, finite sample guarantees and may need a significant amount of fine-tuning to produce good results. PAC optimal exploration algorithms, on the other hand, offer strong theoretical guarantees but are inapplicable in domains of realistic size. The goal of this paper is to bridge the gap between theory and practice, by introducing C-PACE, an algorithm which offers strong theoretical guarantees and can be applied to interesting, continuous state problems."
A Fast Pairwise Heuristic for Planning under Uncertainty,"Planning under uncertainty
Decision Making
Markov Decision Process
POMDP","Planning (General/Other)
Uncertainty in AI (General/Other)","Reasoning about Plans, Processes, and Actions
Reasoning under Uncertainty","POMDP (Partially Observable Markov Decision Process) is a mathematical framework that models planning under uncertainty. Solving a POMDP is an intractable problem and even the state of the art POMDP solvers are too computationally expensive for large domains. This is a major bottleneck. In this paper, we propose a new heuristic, called the pairwise heuristic, that can be used in a one-step greedy strategy to find a near optimal solution for POMDP problems very quickly. This approach is a good candidate for large problems where real-time solution is a necessity but exact optimality of the solution is not vital. The pairwise heuristic uses the optimal solutions for pairs of states. For each pair of states in the POMDP, we find the optimal sequence of actions to resolve the uncertainty and to maximize the reward, given that the agent is uncertain about which state of the pair it is in. Then we use these sequences as a heuristic and find the optimal action in each step of the greedy strategy using this heuristic. We have tested our method on the available large classical test benchmarks in various domains. The resulting total reward is close to, if not greater than, the total reward obtained by other state of the art POMDP solvers, while the time required to find the solution is always much less."
Sensitivity of diffusion dynamics to network uncertainty,"diffusion on graphs
independent cascades model
linear threshold model
network sampling
network perturbation
submodularity","Agent-based Simulation and Emergent Behavior
Computational Social Science
Social Networks","Multiagent Systems
Applications","Simple diffusion processes on networks have been used to model, analyze and predict diverse phenomena such as spread of diseases, information, memes, etc. More often than not, the underlying network data is noisy and sampled. This prompts the following natural question: how sensitive are the diffusion dynamics and subsequent conclusions to uncertainty in the network? 

In this paper, we consider two popular diffusion models: Independent cascades (IC) model and Linear threshold (LT) model. We study how the expected number of vertices that are influenced/infected, given some initial conditions, are affected by network perturbation. By rigorous analysis under the assumption of a reasonable perturbation model we establish the following main results: (1) For the IC model, we characterize the susceptibility to network perturbation in terms of the critical probability for phase transition of the network. We find the expected number of infections is quite stable, unless the the transmission probability is close to the critical probability. (2) We show that the standard LT model with uniform edge weights is relatively stable under network perturbations. (3) Empirically, the transient behavior, i.e., the time series of the number of infections, in both models appears to be more sensitive to network perturbations. We also study these questions using extensive simulations on diverse real world networks, and find that our theoretical predictions for both models match the empirical observations quite closely."
Automatic Identification of Conceptual Metaphors With Limited Knowledge,"conceptual metaphor
cognitive linguistics
natural language processing
metaphor perception","Unsupervised Learning (Other)
Natural Language Processing (General/Other)","Machine Learning
Natural Language Processing","Complete natural language understanding requires identifying and
analyzing the meanings of metaphors, which are ubiquitous in text and
speech. Underlying metaphors in language are conceptual metaphors,
partial semantic mappings between disparate conceptual domains. Though
positive results have been achieved in identifying linguistic
metaphors over the last decade, little work has been done to date on
automatically identifying conceptual metaphors. This paper describes
research on identifying conceptual metaphors based on corpus data. Our
method uses as little background knowledge as possible, to ease
transfer to new languages and to minimize any bias introduced by the
knowledge base construction process. The method relies on general
heuristics for identifying linguistic metaphors and statistical
clustering (guided by Wordnet) to form conceptual metaphor
candidates. Human experiments show the system effectively finds
meaningful conceptual metaphors."
Model-Lite Case-Based Planning,"Model-lite planning
case-based planning
planning
incomplete models","Case-Based Reasoning
Deterministic Planning
Planning (General/Other)","Machine Learning
Reasoning about Plans, Processes, and Actions","There is increasing awareness in the planning community that depending on complete models impedes the applicability of planning technology in many real world domains where the burden of specifying complete domain models is too high. In this paper, we consider a novel solution for this challenge that combines generative planning on incomplete domain models with a library of plan cases that are known to be correct. While this was arguably the original motivation for case-based planning, most existing case-based planners assume (and depend on) from-scratch planners that work on complete domain models. In contrast, our approach views the plan generated with respect to the incomplete model as a ""skeletal plan"" and augments it with directed mining of plan fragments from library cases. We will present the details of our approach and present an empirical evaluation of our method in comparison to a state-of-the-art case-based planner that depends on complete domain models."
Scalable Lifelong Learning with Active Task Selection,"lifelong learning
multi-task learning
active learning
curriculum selection","Active Learning
Transfer, Adaptation, Multitask Learning",Machine Learning,"In a lifelong learning framework, an agent acquires knowledge incrementally over consecutive learning tasks, continually building upon its experience.  Recent lifelong learning algorithms have achieved nearly identical performance to batch multi-task learning methods while requiring over three orders of magnitude less time to learn.  In this paper, we further improve the scalability of lifelong learning by developing curriculum selection methods that enable an agent to actively select the next task to learn in order to maximize performance on future learning tasks.  We demonstrate that active task selection is highly reliable and effective, allowing an agent to learn high performance models using up to 50% fewer tasks than when the agent has no control over the task order.  We also explore a variant of transfer learning in the lifelong learning setting in which the agent can focus knowledge acquisition toward a particular target task, enabling the agent to quickly learn the target task."
Continuous Conditional Random Fields for Efficient Regression in Large Fully Connected Graphs,"structured regression
conditional random fields
approximate learning
approximate inference
fully connected graphs","Big Data / Scalability
Graphical Model Learning
Structured Prediction",Machine Learning,"When used for structured regression, powerful Conditional Random Fields (CRFs) are typically restricted to modeling effects of interactions among examples in local neighborhoods. Using more expressive representation would result in dense graphs, making these methods impractical for large-scale applications. To address this issue, we propose an effective CRF model with linear scale-up properties regarding approximate learning and inference for structured regression on large, fully connected graphs. The proposed method is validated on real-world large-scale problems of image de-noising and remote sensing. In conducted experiments, we demonstrated that dense connectivity provides an improvement in prediction accuracy. Inference time of less than a second on graphs with billions of edges  makes the proposed model an attractive tool for large-scale, structured regression problems."
Probabilistic Sense Sentiment Similarity through Hidden Emotions,"Sentiment Similarity
Indirect yse/no Question Answer Pairs
Sentiment Orientation Prediction","Information Extraction
Question Answering
Natural Language Processing (General/Other)",Natural Language Processing,"Sentiment Similarity of word pairs reflects the distance between the words regarding their underlying sentiments. This paper intends to infer the sentiment similarity between word pairs with respect to their senses. To achieve this aim, we propose a probabilistic emotion-based approach that is built on a hidden emotional model in which the basic human emotions are considered as hidden. This leads to predict a vector of basic emotions for each sense of the words. The emotional vectors are employed to infer the sentiment similarity of word pairs. We apply the proposed sentiment similarity approach to address two main natural language processing tasks, namely, Indirect yes/no Question Answer Pairs (IQAPs) inference and Sentiment Orientation (SO) prediction. Extensive experiments demonstrate that the proposed approach can effectively capture the sentiment similarity of word pairs and significantly outperforms semantic similarity measures on the above tasks."
